model_name,Impact Area,prompt_id,total,correct,incorrect,accuracy,expert_score,score_total,score_correct,score_accuracy
gpt-4o,climate,CLIMATE_CHANGE_PROMPT,3,2,1,0.6666666666666666,0,1,1,1.0
gpt-4o,climate,CLIMATE_CHANGE_PROMPT,3,2,1,0.6666666666666666,2,2,1,0.5
gpt-4o,climate,ENVIRONMENTAL_HEALTH_PROMPT,3,1,2,0.3333333333333333,0,1,1,1.0
gpt-4o,climate,ENVIRONMENTAL_HEALTH_PROMPT,3,1,2,0.3333333333333333,2,2,0,0.0
gpt-4o,climate,GENDER_EQUALITY_PROMPT,3,1,2,0.3333333333333333,0,1,1,1.0
gpt-4o,climate,GENDER_EQUALITY_PROMPT,3,1,2,0.3333333333333333,2,2,0,0.0
gpt-4o,climate,NUTRITION_PROMPT,3,1,2,0.3333333333333333,0,1,1,1.0
gpt-4o,climate,NUTRITION_PROMPT,3,1,2,0.3333333333333333,2,2,0,0.0
gpt-4o,climate,POVERTY_REDUCTION_PROMPT,3,1,2,0.3333333333333333,0,1,1,1.0
gpt-4o,climate,POVERTY_REDUCTION_PROMPT,3,1,2,0.3333333333333333,2,2,0,0.0
gpt-4o,gender,CLIMATE_CHANGE_PROMPT,3,1,2,0.3333333333333333,0,2,1,0.5
gpt-4o,gender,CLIMATE_CHANGE_PROMPT,3,1,2,0.3333333333333333,1,1,0,0.0
gpt-4o,gender,ENVIRONMENTAL_HEALTH_PROMPT,3,1,2,0.3333333333333333,0,2,1,0.5
gpt-4o,gender,ENVIRONMENTAL_HEALTH_PROMPT,3,1,2,0.3333333333333333,1,1,0,0.0
gpt-4o,gender,GENDER_EQUALITY_PROMPT,3,1,2,0.3333333333333333,0,2,1,0.5
gpt-4o,gender,GENDER_EQUALITY_PROMPT,3,1,2,0.3333333333333333,1,1,0,0.0
gpt-4o,gender,NUTRITION_PROMPT,3,0,3,0.0,0,2,0,0.0
gpt-4o,gender,NUTRITION_PROMPT,3,0,3,0.0,1,1,0,0.0
gpt-4o,gender,POVERTY_REDUCTION_PROMPT,3,0,3,0.0,0,2,0,0.0
gpt-4o,gender,POVERTY_REDUCTION_PROMPT,3,0,3,0.0,1,1,0,0.0
gpt-4o,nutrition,CLIMATE_CHANGE_PROMPT,1,1,0,1.0,0,1,1,1.0
gpt-4o,nutrition,ENVIRONMENTAL_HEALTH_PROMPT,1,1,0,1.0,0,1,1,1.0
gpt-4o,nutrition,GENDER_EQUALITY_PROMPT,1,0,1,0.0,0,1,0,0.0
gpt-4o,nutrition,NUTRITION_PROMPT,1,0,1,0.0,0,1,0,0.0
gpt-4o,nutrition,POVERTY_REDUCTION_PROMPT,1,0,1,0.0,0,1,0,0.0
gpt-4o,poverty,CLIMATE_CHANGE_PROMPT,4,0,4,0.0,0,2,0,0.0
gpt-4o,poverty,CLIMATE_CHANGE_PROMPT,4,0,4,0.0,2,2,0,0.0
gpt-4o,poverty,ENVIRONMENTAL_HEALTH_PROMPT,4,0,4,0.0,0,2,0,0.0
gpt-4o,poverty,ENVIRONMENTAL_HEALTH_PROMPT,4,0,4,0.0,2,2,0,0.0
gpt-4o,poverty,GENDER_EQUALITY_PROMPT,4,2,2,0.5,0,2,2,1.0
gpt-4o,poverty,GENDER_EQUALITY_PROMPT,4,2,2,0.5,2,2,0,0.0
gpt-4o,poverty,NUTRITION_PROMPT,4,1,3,0.25,0,2,1,0.5
gpt-4o,poverty,NUTRITION_PROMPT,4,1,3,0.25,2,2,0,0.0
gpt-4o,poverty,POVERTY_REDUCTION_PROMPT,4,1,3,0.25,0,2,0,0.0
gpt-4o,poverty,POVERTY_REDUCTION_PROMPT,4,1,3,0.25,2,2,1,0.5
gpt-4o-mini,climate,CLIMATE_CHANGE_PROMPT,3,2,1,0.6666666666666666,0,1,1,1.0
gpt-4o-mini,climate,CLIMATE_CHANGE_PROMPT,3,2,1,0.6666666666666666,2,2,1,0.5
gpt-4o-mini,climate,ENVIRONMENTAL_HEALTH_PROMPT,3,1,2,0.3333333333333333,0,1,1,1.0
gpt-4o-mini,climate,ENVIRONMENTAL_HEALTH_PROMPT,3,1,2,0.3333333333333333,2,2,0,0.0
gpt-4o-mini,climate,GENDER_EQUALITY_PROMPT,3,1,2,0.3333333333333333,0,1,1,1.0
gpt-4o-mini,climate,GENDER_EQUALITY_PROMPT,3,1,2,0.3333333333333333,2,2,0,0.0
gpt-4o-mini,climate,NUTRITION_PROMPT,3,1,2,0.3333333333333333,0,1,1,1.0
gpt-4o-mini,climate,NUTRITION_PROMPT,3,1,2,0.3333333333333333,2,2,0,0.0
gpt-4o-mini,climate,POVERTY_REDUCTION_PROMPT,3,1,2,0.3333333333333333,0,1,1,1.0
gpt-4o-mini,climate,POVERTY_REDUCTION_PROMPT,3,1,2,0.3333333333333333,2,2,0,0.0
