model_name,Impact Area,prompt_id,total,correct,incorrect,accuracy,expert_score,score_total,score_correct,score_accuracy
gpt-4o-mini,climate,CLIMATE_CHANGE_PROMPT,18,10,8,0.5555555555555556,0,4,2,0.5
gpt-4o-mini,climate,CLIMATE_CHANGE_PROMPT,18,10,8,0.5555555555555556,1,5,1,0.2
gpt-4o-mini,climate,CLIMATE_CHANGE_PROMPT,18,10,8,0.5555555555555556,2,9,7,0.7777777777777778
gpt-4o-mini,environment,ENVIRONMENTAL_HEALTH_PROMPT,8,5,3,0.625,0,1,1,1.0
gpt-4o-mini,environment,ENVIRONMENTAL_HEALTH_PROMPT,8,5,3,0.625,1,3,2,0.6666666666666666
gpt-4o-mini,environment,ENVIRONMENTAL_HEALTH_PROMPT,8,5,3,0.625,2,4,2,0.5
gpt-4o-mini,gender,GENDER_EQUALITY_PROMPT,16,7,9,0.4375,0,6,3,0.5
gpt-4o-mini,gender,GENDER_EQUALITY_PROMPT,16,7,9,0.4375,1,6,1,0.16666666666666666
gpt-4o-mini,gender,GENDER_EQUALITY_PROMPT,16,7,9,0.4375,2,4,3,0.75
gpt-4o-mini,nutrition,NUTRITION_PROMPT,17,8,9,0.47058823529411764,0,11,5,0.45454545454545453
gpt-4o-mini,nutrition,NUTRITION_PROMPT,17,8,9,0.47058823529411764,1,4,2,0.5
gpt-4o-mini,nutrition,NUTRITION_PROMPT,17,8,9,0.47058823529411764,2,2,1,0.5
gpt-4o-mini,poverty,POVERTY_REDUCTION_PROMPT,18,4,14,0.2222222222222222,0,11,1,0.09090909090909091
gpt-4o-mini,poverty,POVERTY_REDUCTION_PROMPT,18,4,14,0.2222222222222222,1,5,2,0.4
gpt-4o-mini,poverty,POVERTY_REDUCTION_PROMPT,18,4,14,0.2222222222222222,2,2,1,0.5
