model_name,Impact Area,prompt_id,total,correct,incorrect,accuracy,expert_score,score_total,score_correct,score_accuracy
gpt-4o,climate,CLIMATE_CHANGE_PROMPT,1,1,0,1.0,2,1,1,1.0
gpt-4o,poverty,POVERTY_REDUCTION_PROMPT,1,0,1,0.0,0,1,0,0.0
gpt-4o-mini,climate,CLIMATE_CHANGE_PROMPT,1,1,0,1.0,2,1,1,1.0
gpt-4o-mini,poverty,POVERTY_REDUCTION_PROMPT,1,0,1,0.0,0,1,0,0.0
o1,climate,CLIMATE_CHANGE_PROMPT,1,1,0,1.0,2,1,1,1.0
o1,poverty,POVERTY_REDUCTION_PROMPT,1,0,1,0.0,0,1,0,0.0
o1-mini,climate,CLIMATE_CHANGE_PROMPT,1,1,0,1.0,2,1,1,1.0
o1-mini,poverty,POVERTY_REDUCTION_PROMPT,1,0,1,0.0,0,1,0,0.0
o3-mini,climate,CLIMATE_CHANGE_PROMPT,1,1,0,1.0,2,1,1,1.0
o3-mini,poverty,POVERTY_REDUCTION_PROMPT,1,0,1,0.0,0,1,0,0.0
