model_name,Impact Area,prompt_id,total,correct,incorrect,accuracy,expert_score,score_total,score_correct,score_accuracy
gpt-4o,environment,ENVIRONMENTAL_HEALTH_PROMPT,8,4,4,0.5,0,1,1,1.0
gpt-4o,environment,ENVIRONMENTAL_HEALTH_PROMPT,8,4,4,0.5,1,3,2,0.6666666666666666
gpt-4o,environment,ENVIRONMENTAL_HEALTH_PROMPT,8,4,4,0.5,2,4,1,0.25
gpt-4o,gender,GENDER_EQUALITY_PROMPT,16,8,8,0.5,0,6,5,0.8333333333333334
gpt-4o,gender,GENDER_EQUALITY_PROMPT,16,8,8,0.5,1,6,2,0.3333333333333333
gpt-4o,gender,GENDER_EQUALITY_PROMPT,16,8,8,0.5,2,4,1,0.25
gpt-4o,gender,Gender_prompt_test_V2,16,8,8,0.5,0,6,5,0.8333333333333334
gpt-4o,gender,Gender_prompt_test_V2,16,8,8,0.5,1,6,2,0.3333333333333333
gpt-4o,gender,Gender_prompt_test_V2,16,8,8,0.5,2,4,1,0.25
gpt-4o,nutrition,NUTRITION_PROMPT,17,8,9,0.47058823529411764,0,11,5,0.45454545454545453
gpt-4o,nutrition,NUTRITION_PROMPT,17,8,9,0.47058823529411764,1,4,2,0.5
gpt-4o,nutrition,NUTRITION_PROMPT,17,8,9,0.47058823529411764,2,2,1,0.5
gpt-4o-mini,environment,ENVIRONMENTAL_HEALTH_PROMPT,8,5,3,0.625,0,1,1,1.0
gpt-4o-mini,environment,ENVIRONMENTAL_HEALTH_PROMPT,8,5,3,0.625,1,3,2,0.6666666666666666
gpt-4o-mini,environment,ENVIRONMENTAL_HEALTH_PROMPT,8,5,3,0.625,2,4,2,0.5
gpt-4o-mini,gender,GENDER_EQUALITY_PROMPT,16,7,9,0.4375,0,6,3,0.5
gpt-4o-mini,gender,GENDER_EQUALITY_PROMPT,16,7,9,0.4375,1,6,1,0.16666666666666666
gpt-4o-mini,gender,GENDER_EQUALITY_PROMPT,16,7,9,0.4375,2,4,3,0.75
gpt-4o-mini,gender,Gender_prompt_test_V2,16,7,9,0.4375,0,6,3,0.5
gpt-4o-mini,gender,Gender_prompt_test_V2,16,7,9,0.4375,1,6,1,0.16666666666666666
gpt-4o-mini,gender,Gender_prompt_test_V2,16,7,9,0.4375,2,4,3,0.75
gpt-4o-mini,nutrition,NUTRITION_PROMPT,17,8,9,0.47058823529411764,0,11,5,0.45454545454545453
gpt-4o-mini,nutrition,NUTRITION_PROMPT,17,8,9,0.47058823529411764,1,4,2,0.5
gpt-4o-mini,nutrition,NUTRITION_PROMPT,17,8,9,0.47058823529411764,2,2,1,0.5
