model_name,Impact Area,prompt_id,total,correct,incorrect,accuracy,expert_score,score_total,score_correct,score_accuracy
gpt-4o,climate,CLIMATE_CHANGE_PROMPT,18,9,9,0.5,0,4,2,0.5
gpt-4o,climate,CLIMATE_CHANGE_PROMPT,18,9,9,0.5,1,5,2,0.4
gpt-4o,climate,CLIMATE_CHANGE_PROMPT,18,9,9,0.5,2,9,5,0.5555555555555556
gpt-4o,climate,Climate_json2,18,10,8,0.5555555555555556,0,4,2,0.5
gpt-4o,climate,Climate_json2,18,10,8,0.5555555555555556,1,5,2,0.4
gpt-4o,climate,Climate_json2,18,10,8,0.5555555555555556,2,9,6,0.6666666666666666
gpt-4o,climate,Climate_json3,18,9,9,0.5,0,4,2,0.5
gpt-4o,climate,Climate_json3,18,9,9,0.5,1,5,2,0.4
gpt-4o,climate,Climate_json3,18,9,9,0.5,2,9,5,0.5555555555555556
o1-mini,climate,CLIMATE_CHANGE_PROMPT,18,10,8,0.5555555555555556,0,4,0,0.0
o1-mini,climate,CLIMATE_CHANGE_PROMPT,18,10,8,0.5555555555555556,1,5,3,0.6
o1-mini,climate,CLIMATE_CHANGE_PROMPT,18,10,8,0.5555555555555556,2,9,7,0.7777777777777778
o1-mini,climate,Climate_json2,18,8,10,0.4444444444444444,0,4,0,0.0
o1-mini,climate,Climate_json2,18,8,10,0.4444444444444444,1,5,2,0.4
o1-mini,climate,Climate_json2,18,8,10,0.4444444444444444,2,9,6,0.6666666666666666
o1-mini,climate,Climate_json3,18,9,9,0.5,0,4,0,0.0
o1-mini,climate,Climate_json3,18,9,9,0.5,1,5,2,0.4
o1-mini,climate,Climate_json3,18,9,9,0.5,2,9,7,0.7777777777777778
