model_name,Impact Area,prompt_id,total,correct,incorrect,accuracy,expert_score,score_total,score_correct,score_accuracy
gpt-4o,climate,CLIMATE_CHANGE_PROMPT,16,8,8,0.5,0,4,2,0.5
gpt-4o,climate,CLIMATE_CHANGE_PROMPT,16,8,8,0.5,1,4,3,0.75
gpt-4o,climate,CLIMATE_CHANGE_PROMPT,16,8,8,0.5,2,8,3,0.375
gpt-4o,environment,ENVIRONMENTAL_HEALTH_PROMPT,6,2,4,0.3333333333333333,0,1,1,1.0
gpt-4o,environment,ENVIRONMENTAL_HEALTH_PROMPT,6,2,4,0.3333333333333333,1,2,1,0.5
gpt-4o,environment,ENVIRONMENTAL_HEALTH_PROMPT,6,2,4,0.3333333333333333,2,3,0,0.0
gpt-4o,gender,GENDER_EQUALITY_PROMPT,13,5,8,0.38461538461538464,0,4,4,1.0
gpt-4o,gender,GENDER_EQUALITY_PROMPT,13,5,8,0.38461538461538464,1,5,1,0.2
gpt-4o,gender,GENDER_EQUALITY_PROMPT,13,5,8,0.38461538461538464,2,4,0,0.0
gpt-4o,ipsr,INNOVATION_READINESS_PROMPT,9,1,8,0.1111111111111111,4,2,0,0.0
gpt-4o,ipsr,INNOVATION_READINESS_PROMPT,9,1,8,0.1111111111111111,5,1,0,0.0
gpt-4o,ipsr,INNOVATION_READINESS_PROMPT,9,1,8,0.1111111111111111,6,2,0,0.0
gpt-4o,ipsr,INNOVATION_READINESS_PROMPT,9,1,8,0.1111111111111111,8,3,0,0.0
gpt-4o,ipsr,INNOVATION_READINESS_PROMPT,9,1,8,0.1111111111111111,9,1,1,1.0
gpt-4o,nutrition,NUTRITION_PROMPT,13,5,8,0.38461538461538464,0,8,4,0.5
gpt-4o,nutrition,NUTRITION_PROMPT,13,5,8,0.38461538461538464,1,3,1,0.3333333333333333
gpt-4o,nutrition,NUTRITION_PROMPT,13,5,8,0.38461538461538464,2,2,0,0.0
gpt-4o,poverty,POVERTY_REDUCTION_PROMPT,15,8,7,0.5333333333333333,0,10,6,0.6
gpt-4o,poverty,POVERTY_REDUCTION_PROMPT,15,8,7,0.5333333333333333,1,3,2,0.6666666666666666
gpt-4o,poverty,POVERTY_REDUCTION_PROMPT,15,8,7,0.5333333333333333,2,2,0,0.0
